код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
483,3,Замын-Үүд дэх ГГ,Татвар,2024,9,141506.51
484,5,Чингис хаан ОУНБ ГГ,Татвар,2024,9,19846.77
485,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,9,46896.23
486,14,Гашуунсухайт дахь ГГ,Татвар,2024,9,47716.24
487,15,Шивээхүрэн дэх ГГ,Татвар,2024,9,20620.47
488,11,Сайншанд дахь ГГ,Татвар,2024,9,3104.8
489,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,9,4127.58
490,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,9,5731.81
491,10,Орхон аймаг дахь ГГ,Татвар,2024,9,7727.03
492,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,9,7332.02
493,6,Дорнод аймаг дахь ГГ,Татвар,2024,9,6076.06
494,9,Увс аймаг дахь ГГ,Татвар,2024,9,668.92
495,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,9,6654.76
496,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,9,0
497,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,9,3645.99
498,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,9,18.07
499,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,9,0
500,20,Ханги дахь гаалийн газар,Татвар,2024,9,5743.97
501,1,ГЕГазар,Хураамж,2024,9,0.01
502,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,9,189.46
503,3,Замын-Үүд дэх ГГ,Хураамж,2024,9,103.21
504,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,9,12.33
505,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,9,15.2
506,14,Гашуунсухайт дахь ГГ,Хураамж,2024,9,7252.08
507,15,Шивээхүрэн дэх ГГ,Хураамж,2024,9,1686.89
508,11,Сайншанд дахь ГГ,Хураамж,2024,9,279.85
509,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,9,550
510,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,9,7.76
511,10,Орхон аймаг дахь ГГ,Хураамж,2024,9,124.13
512,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,9,602.58
513,6,Дорнод аймаг дахь ГГ,Хураамж,2024,9,138.15
514,9,Увс аймаг дахь ГГ,Хураамж,2024,9,0.66
515,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,9,19
516,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,9,0
517,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,9,61.57
518,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,9,0.2
519,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,9,0
520,20,Ханги дахь гаалийн газар,Хураамж,2024,9,177.23
521,1,ГЕГазар,Өөрийн орлого,2024,9,501.36
522,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,9,198.33
523,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,9,103.21
524,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,9,95.31
525,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,9,24.1
526,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,9,191.02
527,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,9,15.58
528,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,9,23.66
529,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,9,5.4
530,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,9,24.1
531,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,9,7.1
532,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,9,5.65
533,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,9,38
534,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,9,1.4
535,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,9,45
536,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,9,0.2
537,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,9,3
538,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,9,1.56
539,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,9,0.53
540,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,9,10.14
541,1,ГЕГазар,Татвар,2024,10,12.16
542,2,Улаанбаатар хот дахь ГГ,Татвар,2024,10,291266.58
543,3,Замын-Үүд дэх ГГ,Татвар,2024,10,137601.97
544,5,Чингис хаан ОУНБ ГГ,Татвар,2024,10,26051.84
545,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,10,49194.55
546,14,Гашуунсухайт дахь ГГ,Татвар,2024,10,32704.01
547,15,Шивээхүрэн дэх ГГ,Татвар,2024,10,13085.46
548,11,Сайншанд дахь ГГ,Татвар,2024,10,6812.72
549,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,10,4438.69
550,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,10,4891.58
551,10,Орхон аймаг дахь ГГ,Татвар,2024,10,6611.98
552,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,10,5055.75
553,6,Дорнод аймаг дахь ГГ,Татвар,2024,10,4044.56
554,9,Увс аймаг дахь ГГ,Татвар,2024,10,1368.95
555,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,10,7791.69
556,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,10,0
557,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,10,2860.36
558,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,10,16.86
559,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,10,1.39
560,20,Ханги дахь гаалийн газар,Татвар,2024,10,4345.6
561,1,ГЕГазар,Хураамж,2024,10,0.01
562,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,10,236.18
563,3,Замын-Үүд дэх ГГ,Хураамж,2024,10,118.28
564,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,10,12.33
565,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,10,18.32
566,14,Гашуунсухайт дахь ГГ,Хураамж,2024,10,6799.2
567,15,Шивээхүрэн дэх ГГ,Хураамж,2024,10,1408.55
568,11,Сайншанд дахь ГГ,Хураамж,2024,10,217.82
569,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,10,550
570,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,10,7.63
571,10,Орхон аймаг дахь ГГ,Хураамж,2024,10,113.04
572,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,10,532.69
573,6,Дорнод аймаг дахь ГГ,Хураамж,2024,10,311.27
574,9,Увс аймаг дахь ГГ,Хураамж,2024,10,0.84
575,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,10,18
576,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,10,0
577,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,10,61.57
578,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,10,0.2
579,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,10,0
580,20,Ханги дахь гаалийн газар,Хураамж,2024,10,320.37
581,1,ГЕГазар,Өөрийн орлого,2024,10,369.05
582,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,10,241.96
583,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,10,118.28
584,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,10,70.21
585,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,10,90.62
586,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,10,93.6
587,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,10,3.52
588,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,10,27.3
589,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,10,5.4
590,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,10,90.62
591,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,10,5.9
592,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,10,6.32
593,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,10,45
594,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,10,1.5
595,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,10,53
596,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,10,0
597,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,10,3
598,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,10,0.55
599,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,10,0.12
600,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,10,11.7
601,1,ГЕГазар,Татвар,2024,11,0.07
602,2,Улаанбаатар хот дахь ГГ,Татвар,2024,11,283490.52
603,3,Замын-Үүд дэх ГГ,Татвар,2024,11,139601.91
604,5,Чингис хаан ОУНБ ГГ,Татвар,2024,11,27563.13
605,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,11,44561.02
606,14,Гашуунсухайт дахь ГГ,Татвар,2024,11,45390.55
607,15,Шивээхүрэн дэх ГГ,Татвар,2024,11,12837.68
608,11,Сайншанд дахь ГГ,Татвар,2024,11,5912.92
609,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,11,2591.68
610,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,11,8124.48
611,10,Орхон аймаг дахь ГГ,Татвар,2024,11,7317.02
612,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,11,5340.91
613,6,Дорнод аймаг дахь ГГ,Татвар,2024,11,4364.59
614,9,Увс аймаг дахь ГГ,Татвар,2024,11,1962.71
615,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,11,9514.33
616,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,11,63.71
617,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,11,2244.96
618,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,11,15.54
619,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,11,0
620,20,Ханги дахь гаалийн газар,Татвар,2024,11,3757.86
621,1,ГЕГазар,Хураамж,2024,11,0.01
622,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,11,237.36
623,3,Замын-Үүд дэх ГГ,Хураамж,2024,11,93.03
624,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,11,12.35
625,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,11,17.12
626,14,Гашуунсухайт дахь ГГ,Хураамж,2024,11,6668.2
627,15,Шивээхүрэн дэх ГГ,Хураамж,2024,11,1756.39
628,11,Сайншанд дахь ГГ,Хураамж,2024,11,354.22
629,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,11,550
630,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,11,8.65
631,10,Орхон аймаг дахь ГГ,Хураамж,2024,11,113.72
632,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,11,521.14
633,6,Дорнод аймаг дахь ГГ,Хураамж,2024,11,186.5
634,9,Увс аймаг дахь ГГ,Хураамж,2024,11,1.05
635,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,11,18
636,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,11,48.21
637,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,11,61.57
638,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,11,0.2
639,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,11,0
640,20,Ханги дахь гаалийн газар,Хураамж,2024,11,404.41
641,1,ГЕГазар,Өөрийн орлого,2024,11,592.49
642,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,11,168.75
643,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,11,93.03
644,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,11,44.55
645,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,11,39.77
646,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,11,105.22
647,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,11,5.74
648,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,11,54.95
649,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,11,5.4
650,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,11,39.77
651,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,11,6.1
652,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,11,5.53
653,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,11,30
654,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,11,1.1
655,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,11,56
656,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,11,0.4
657,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,11,2
658,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,11,0.6
659,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,11,0.29
660,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,11,23.55
661,1,ГЕГазар,Татвар,2024,12,7.46
662,2,Улаанбаатар хот дахь ГГ,Татвар,2024,12,305844.81
663,3,Замын-Үүд дэх ГГ,Татвар,2024,12,123555.81
664,5,Чингис хаан ОУНБ ГГ,Татвар,2024,12,27447.16
665,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,12,49495.72
666,14,Гашуунсухайт дахь ГГ,Татвар,2024,12,37902.77
667,15,Шивээхүрэн дэх ГГ,Татвар,2024,12,8887.99
668,11,Сайншанд дахь ГГ,Татвар,2024,12,5840.48
669,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,12,892.39
670,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,12,10636.89
671,10,Орхон аймаг дахь ГГ,Татвар,2024,12,9674.87
672,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,12,5320.13
673,6,Дорнод аймаг дахь ГГ,Татвар,2024,12,4465.99
674,9,Увс аймаг дахь ГГ,Татвар,2024,12,1898.8
675,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,12,10223.74
676,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,12,19.01
677,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,12,2037.34
678,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,12,2.42
679,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,12,0.84
680,20,Ханги дахь гаалийн газар,Татвар,2024,12,4930.13
681,1,ГЕГазар,Хураамж,2024,12,0.01
682,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,12,215.03
683,3,Замын-Үүд дэх ГГ,Хураамж,2024,12,150.08
684,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,12,12.12
685,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,12,14.06
686,14,Гашуунсухайт дахь ГГ,Хураамж,2024,12,8480.58
687,15,Шивээхүрэн дэх ГГ,Хураамж,2024,12,456.03
688,11,Сайншанд дахь ГГ,Хураамж,2024,12,237.65
689,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,12,300
690,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,12,8.48
691,10,Орхон аймаг дахь ГГ,Хураамж,2024,12,105.74
692,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,12,632.15
693,6,Дорнод аймаг дахь ГГ,Хураамж,2024,12,62.17
694,9,Увс аймаг дахь ГГ,Хураамж,2024,12,1.53
695,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,12,18
696,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,12,50
697,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,12,47.89
698,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,12,0.2
699,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,12,0
700,20,Ханги дахь гаалийн газар,Хураамж,2024,12,249.13
701,1,ГЕГазар,Өөрийн орлого,2024,12,425.49
702,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,12,182.65
703,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,12,150.08
704,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,12,68.15
705,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,12,47.06
706,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,12,200.19
707,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,12,14.01
708,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,12,24.15
709,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,12,5.4
710,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,12,47.06
711,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,12,7.2
712,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,12,5.41
713,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,12,22
714,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,12,1.2
715,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,12,56
716,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,12,5
717,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,12,2
718,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,12,0.3
719,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,12,0.25
720,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,12,10.35
